Created,GME,NIO,PLTR,PLUG,TSLA
2020-01-16 05:00:00+00:00,4.615,4.37,,4.19,513.49
2020-01-17 05:00:00+00:00,4.74,4.67,,4.1601,510.19
2020-01-21 05:00:00+00:00,4.595,5.17,,4.31,547.3007
2020-01-22 05:00:00+00:00,4.56,4.8,,4.045,569.43
2020-01-23 05:00:00+00:00,4.62,4.88,,3.92,571.9422
2020-01-24 05:00:00+00:00,4.32,4.64,,3.895,564.96
2020-01-27 05:00:00+00:00,4.275,4.0059,,3.8,557.54
2020-01-28 05:00:00+00:00,4.22,4.2,,4.0771,566.82
2020-01-29 05:00:00+00:00,4.13,4.26,,4.03,581.0
2020-01-30 05:00:00+00:00,3.94,4.08,,3.99,640.93
2020-01-31 05:00:00+00:00,3.85,3.775,,3.86,650.48
2020-02-03 05:00:00+00:00,3.96,4.05,,3.85,780.28
2020-02-04 05:00:00+00:00,4.08,4.51,,4.085,887.72
2020-02-05 05:00:00+00:00,4.19,4.39,,4.13,734.72
2020-02-06 05:00:00+00:00,4.14,4.08,,4.25,748.5
2020-02-07 05:00:00+00:00,3.81,3.81,,4.25,747.9808
2020-02-10 05:00:00+00:00,3.95,3.8665,,4.37,770.8467
2020-02-11 05:00:00+00:00,4.03,3.95,,4.39,774.02
2020-02-12 05:00:00+00:00,4.19,4.07,,4.47,767.44
2020-02-13 05:00:00+00:00,4.12,4.02,,4.45,803.86
2020-02-14 05:00:00+00:00,4.02,3.78,,4.4,799.9724
2020-02-18 05:00:00+00:00,4.06,3.8,,4.84,858.66
2020-02-19 05:00:00+00:00,4.15,4.085,,5.71,916.96
2020-02-20 05:00:00+00:00,4.14,4.26,,5.51,899.18
2020-02-21 05:00:00+00:00,4.04,4.08,,5.5688,901.0
2020-02-24 05:00:00+00:00,3.7,3.87,,5.181,833.16
2020-02-25 05:00:00+00:00,3.56,4.42,,4.82,799.11
2020-02-26 05:00:00+00:00,3.39,4.335,,4.745,778.8
2020-02-27 05:00:00+00:00,3.47,4.14,,4.04,678.85
2020-02-28 05:00:00+00:00,3.595,4.13,,4.32,667.43
2020-03-02 05:00:00+00:00,3.845,4.1,,4.365,743.69
2020-03-03 05:00:00+00:00,3.64,4.055,,4.5,745.51
2020-03-04 05:00:00+00:00,3.76,3.87,,4.75,749.5
2020-03-05 05:00:00+00:00,3.95,3.72,,4.53,723.62
2020-03-06 05:00:00+00:00,3.92,3.545,,4.32,703.39
2020-03-09 04:00:00+00:00,3.71,3.31,,3.825,606.46
2020-03-10 04:00:00+00:00,4.22,3.5,,4.14,645.0
2020-03-11 04:00:00+00:00,4.14,3.3202,,3.77,633.905
2020-03-12 04:00:00+00:00,3.98,3.13,,3.24,556.01
2020-03-13 04:00:00+00:00,4.59,3.11,,3.36,546.2
2020-03-16 04:00:00+00:00,4.39,2.95,,2.7,444.9801
